"k","wcss"
7,37696.5400873519
7,50293.445828712
7,36513.0901988157
7,48488.2614216455
7,51990.1110321153
7,36633.5389285642
7,30047.6088486297
3,84964.6348441484
3,144453.229377589
3,121999.435463438
4,75773.0895782876
4,83868.5768856082
4,68995.6290674293
4,98334.2638828337
5,46251.3722531559
5,61879.2755842949
5,80191.6832191945
5,56789.7090029287
5,66088.3228041743
6,26449.066210865
6,55431.1514261986
6,45414.3445079949
6,48547.6900676365
6,58705.0496954548
6,67206.1959026651
8,49105.8830994281
8,32733.1710631712
8,33089.610818204
8,32935.3028621948
8,27006.2118643717
8,27630.4309306951
8,37460.5490942912
8,38537.1789245144
9,27946.964154974
9,28548.2193715409
9,30640.8678331692
9,24746.529575783
9,22404.9960132397
9,31390.5875873482
9,35361.5774484056
9,23582.9635672713
9,46064.028178203
